customerId,recommendedProducts
2581,226|247|230|248|125|204|155|294|72|276
2590,226|247|230|248|125|204|155|294|72|276
2615,226|247|230|248|125|204|155|294|72|276
2624,226|247|230|248|125|204|155|294|72|276
2626,226|247|230|248|125|204|155|294|276|129
2654,226|247|230|248|125|204|155|294|72|276
2670,226|247|230|248|125|204|155|294|72|276
2715,226|247|230|248|125|204|155|294|72|276
2724,226|247|230|248|125|204|155|294|72|276
2770,226|247|230|248|125|204|155|294|72|276
2815,226|247|230|248|125|204|155|294|72|276
2819,226|247|230|248|125|204|155|294|72|276
2831,226|247|230|248|125|204|155|294|72|276
2833,226|247|230|248|125|204|155|294|72|276
2842,226|247|230|248|125|204|155|294|72|276
2865,226|247|230|248|125|204|155|294|72|276
2878,226|247|230|248|125|204|155|294|72|276
2892,226|247|230|248|125|204|155|294|72|276
2914,226|247|230|248|125|204|155|294|72|276
2977,226|247|230|248|125|204|155|294|72|276
2978,226|230|248|125|204|155|294|72|276|129
2993,226|247|230|248|125|204|155|294|72|276
3003,226|247|230|248|125|204|155|294|72|276
3012,226|247|230|248|125|204|155|294|72|276
3018,226|247|230|248|125|204|155|294|72|276
3020,226|230|248|125|204|155|294|72|276|129
3026,226|247|230|248|125|204|155|294|72|276
3045,226|247|230|248|125|204|155|294|72|276
3087,226|247|230|125|204|155|294|276|129|213
3115,226|247|230|248|125|204|155|294|72|276
3171,226|247|230|248|125|204|155|294|72|276
3196,226|247|230|248|125|204|155|294|72|276
3223,226|247|230|248|125|204|155|294|72|276
3230,226|247|230|248|125|204|155|294|72|276
3240,226|247|230|248|125|204|155|294|72|276
3257,226|247|230|248|125|204|155|294|72|276
3272,226|247|230|248|125|204|155|294|72|276
3300,226|247|230|248|125|204|155|294|72|276
3341,226|247|230|248|125|204|155|294|72|276
3348,226|247|230|248|125|204|155|294|72|276
3369,226|247|230|248|125|204|155|294|72|276
3386,226|247|230|248|125|204|155|294|72|276
3399,226|247|230|248|125|204|155|294|72|276
3431,226|247|230|248|125|204|155|294|72|276
3444,226|247|230|248|125|204|155|294|72|276
3549,226|247|230|248|125|204|155|294|72|276
3557,226|247|230|248|125|204|155|294|72|276
3593,226|247|230|248|125|204|155|294|72|276
3609,226|247|230|248|125|204|155|294|72|276
3645,226|247|230|248|125|204|155|294|72|276
3651,226|247|230|248|125|204|155|294|72|276
3699,226|247|230|248|125|204|155|294|72|276
3709,226|247|230|248|125|204|155|294|72|276
3716,226|247|230|248|125|204|155|294|72|276
3731,226|247|230|248|125|204|155|294|72|276
3762,226|247|230|248|125|204|155|294|72|276
3768,226|247|230|248|125|204|155|294|72|276
3769,226|247|230|248|125|204|155|294|72|276
3773,226|247|230|248|125|204|155|294|72|276
3775,226|247|230|248|125|204|155|294|72|276
3797,226|247|230|248|125|204|155|72|276|129
3800,226|247|230|248|125|204|155|294|72|276
3843,226|247|230|248|125|204|155|294|72|276
3851,226|247|230|248|125|204|155|294|72|276
3865,226|247|230|248|125|204|155|294|72|276
3879,226|247|230|248|125|204|155|294|72|276
3891,226|247|230|248|125|204|155|294|72|276
3899,226|247|230|248|125|204|155|294|72|276
3955,226|247|230|248|125|204|155|294|72|276
3978,226|247|230|248|125|204|294|72|276|129
3984,226|247|230|248|125|204|155|294|72|276
4007,226|247|230|248|125|204|155|294|72|276
4070,226|247|230|248|125|204|155|294|72|276
4087,226|247|230|248|125|204|155|294|72|276
4118,226|247|230|248|125|204|155|294|72|276
4152,226|247|230|248|125|204|155|294|72|276
4175,226|247|230|248|204|155|294|72|276|129
4207,226|247|230|248|125|204|155|294|72|276
4233,226|247|230|248|125|204|155|294|72|276
4269,226|247|230|248|125|204|155|294|72|276
4271,226|247|230|248|125|204|155|294|72|276
4339,226|247|230|248|125|204|155|294|72|276
4392,226|247|230|248|125|204|155|294|72|276
4405,226|247|230|248|125|204|155|294|72|276
4407,226|247|230|248|125|204|155|294|72|276
4418,226|247|230|248|125|204|155|294|72|276
4442,226|247|230|248|125|204|155|294|72|276
4449,226|247|230|248|125|204|155|294|72|276
4476,226|247|230|248|125|204|155|294|72|276
4516,226|247|230|248|125|204|155|294|72|276
4524,226|247|230|248|125|204|155|294|72|276
4527,226|247|230|248|125|204|155|72|276|129
4537,226|247|230|248|125|204|155|294|72|276
4564,226|247|230|248|125|204|155|294|72|276
4589,226|247|230|248|125|204|155|294|72|276
4608,226|247|230|248|125|204|155|294|72|276
4613,226|247|230|248|125|204|155|294|72|276
4618,226|247|230|248|125|204|155|294|72|276
4657,226|247|230|248|125|204|155|294|72|276
4659,226|247|230|248|125|204|155|294|72|276
4671,226|247|230|248|125|204|155|294|72|276
4717,226|247|230|248|125|204|155|294|72|276
4757,226|247|230|248|125|204|155|294|72|276
4776,226|247|230|248|125|204|155|294|72|276
4799,226|247|230|248|125|204|155|294|72|276
4800,226|247|230|248|125|204|155|294|72|276
4823,226|247|230|248|125|204|155|294|72|276
4848,226|247|230|248|125|204|155|294|72|276
4851,226|247|230|248|125|204|155|294|72|129
4871,226|247|230|248|125|204|155|294|72|276
4950,226|247|230|248|125|204|155|294|72|276
5001,226|247|230|248|125|204|155|294|72|276
5022,247|230|248|125|204|155|294|72|276|213
5065,226|247|230|248|125|204|155|294|72|276
5092,226|247|230|248|125|204|155|294|72|276
5095,226|247|230|248|125|155|294|72|276|129
5113,226|247|230|248|125|204|155|294|72|276
5118,226|247|230|248|125|204|155|294|72|276
5127,226|247|230|248|125|204|155|294|72|276
5193,226|247|230|248|125|204|155|294|72|276
5199,226|247|230|248|125|204|155|294|72|276
5200,226|247|230|248|125|204|155|294|72|276
5220,226|247|230|248|125|204|155|294|72|276
5242,226|247|230|248|125|204|155|294|72|276
5264,226|247|230|248|125|204|155|294|72|276
5273,226|247|230|248|125|204|155|294|72|129
5347,226|247|230|248|125|204|155|294|72|276
5361,226|247|230|248|125|204|155|294|276|129
5365,226|247|230|248|125|204|155|294|72|276
5368,226|247|230|248|125|204|155|294|72|276
5418,226|247|230|248|125|204|155|294|72|276
5430,226|247|230|248|125|204|155|294|72|276
5459,226|247|230|248|204|155|294|72|276|129
5461,226|247|230|248|125|204|155|294|72|276
5501,226|247|230|248|125|204|155|294|72|276
5512,226|247|230|248|125|204|155|294|72|276
5513,226|247|230|248|125|204|155|294|72|276
5522,247|230|248|125|204|155|276|129|165|83
5524,226|247|230|248|125|204|155|294|72|276
5527,226|247|230|248|125|204|155|294|72|276
5555,226|247|230|248|125|204|155|294|72|276
5562,226|247|230|248|125|204|155|294|72|276
5570,226|247|248|125|204|155|294|72|276|129
5581,226|247|230|248|125|204|155|294|72|276
5648,226|247|230|248|125|204|155|294|72|276
5666,226|247|230|248|125|204|155|294|72|276
5684,226|247|230|248|125|204|155|294|72|276
5751,226|247|230|248|125|204|155|294|72|276
5774,226|247|230|248|125|155|294|72|276|129
5891,226|247|230|248|125|204|155|294|72|276
5926,226|247|230|248|125|204|155|294|72|276
5940,226|247|230|248|125|204|155|294|72|276
5957,226|247|230|248|125|204|155|294|72|276
6010,226|247|230|248|125|204|155|294|72|276
6016,226|247|230|248|125|204|155|294|72|276
6030,226|247|230|248|125|204|155|294|72|276
6032,226|247|230|248|125|204|155|294|72|276
6132,226|247|230|248|125|204|155|294|72|276
6145,226|247|230|248|125|204|155|294|72|276
6158,226|247|230|248|125|204|155|294|72|276
6166,226|247|230|248|125|204|155|294|72|276
6167,226|247|230|248|125|204|155|294|72|276
6182,226|247|230|248|125|204|155|294|72|276
6220,226|247|230|248|125|204|155|294|72|276
6258,226|247|230|248|125|204|155|294|72|276
6269,226|247|230|248|125|204|155|294|72|276
6294,226|247|230|248|125|204|155|294|72|276
6297,226|247|230|248|125|204|155|294|72|276
6313,226|247|230|248|125|204|155|294|72|276
6323,226|247|230|248|125|204|155|294|72|276
6326,226|247|230|248|125|204|155|294|72|276
6334,226|247|230|248|125|204|155|294|72|276
6337,226|247|230|248|125|204|155|294|72|276
6344,226|247|230|248|125|204|155|294|72|276
6345,226|247|230|248|125|204|155|294|72|276
6346,226|247|230|248|125|204|155|294|72|276
6385,226|247|230|248|125|204|155|294|72|276
6394,226|247|230|248|125|204|155|294|72|276
6395,226|247|230|248|125|204|155|294|72|276
6427,226|247|230|248|125|204|155|294|72|276
6430,226|247|230|248|125|204|155|294|72|276
6443,226|247|230|248|125|204|155|294|72|276
6455,226|247|230|248|125|204|155|294|72|276
6560,226|247|230|248|125|204|155|294|72|276
6577,226|247|230|248|125|204|155|294|72|276
6591,226|247|230|248|125|204|155|294|72|276
6646,226|247|230|248|125|204|155|294|72|276
6649,226|247|230|248|125|204|155|294|72|276
6655,226|247|230|248|125|204|155|294|72|276
6657,226|247|230|248|125|204|155|294|72|276
6665,226|247|230|248|125|204|155|294|72|276
6680,226|247|230|248|125|204|155|294|72|276
6701,226|247|230|248|125|204|155|294|72|276
6730,226|247|230|248|125|204|155|294|72|276
6769,226|247|230|248|125|204|155|294|72|276
6774,226|247|230|248|125|204|155|294|72|276
6777,226|247|230|248|125|204|155|294|72|276
6782,226|247|230|248|125|204|155|294|72|276
6787,226|247|230|248|125|204|155|294|72|276
6795,226|247|230|248|125|204|155|294|72|276
6799,226|247|230|248|125|204|155|294|72|276
6803,226|247|230|248|125|204|155|294|72|276
6827,226|247|230|248|125|204|155|294|72|276
6829,226|247|230|248|125|204|155|294|72|276
6834,226|247|230|248|125|204|155|294|72|276
6851,226|247|230|248|125|204|155|294|72|276
6878,226|247|230|248|125|204|155|72|276|129
6884,226|247|230|248|125|204|155|294|72|276
6917,226|247|230|248|125|204|155|294|72|276
6961,226|247|230|248|125|204|155|294|72|276
6967,226|247|230|248|125|204|155|294|72|276
6975,226|247|230|125|248|204|155|294|72|276
6977,226|247|230|248|125|204|155|294|72|276
6997,226|247|230|248|204|155|294|72|276|129
7005,226|247|230|248|125|204|155|294|72|276
7011,226|247|230|248|125|204|155|294|72|276
7034,226|247|230|248|125|204|155|294|72|276
7041,226|247|230|248|125|204|155|294|72|276
7062,226|247|230|248|125|204|155|294|72|276
7065,247|230|248|125|204|155|294|276|72|129
7096,226|247|230|248|125|204|155|294|72|276
7106,226|247|230|248|125|204|155|294|72|276
7118,226|247|230|248|125|204|155|294|72|276
7133,226|247|230|248|125|204|155|294|72|276
7153,226|247|230|125|204|155|294|72|276|129
7175,226|247|230|248|125|204|155|294|72|276
7180,226|247|230|248|125|204|155|294|72|276
7207,226|247|230|248|125|204|155|294|72|276
7228,226|247|230|248|125|204|155|294|72|276
7259,226|247|230|248|125|204|155|294|72|276
7274,226|247|230|248|125|204|155|294|72|276
7282,226|247|230|248|125|204|155|294|72|276
7286,226|247|230|248|125|204|155|294|72|276
7299,226|247|230|248|125|204|155|294|72|276
7326,226|247|230|248|125|204|155|294|72|276
7368,226|247|230|248|125|204|155|294|72|276
7394,226|247|230|248|125|204|155|294|72|276
7412,226|247|230|248|125|204|155|294|72|276
7443,226|247|230|248|125|204|155|294|72|276
7454,226|247|230|248|125|204|155|294|72|276
7455,226|247|230|248|125|204|155|294|72|276
7505,226|247|230|248|125|204|155|294|72|276
7510,226|247|230|248|125|204|155|294|72|276
7513,226|247|230|248|125|204|155|294|72|276
7515,226|247|230|248|125|204|155|294|72|276
7522,226|247|230|248|125|204|155|294|72|276
7551,226|247|230|125|248|204|155|294|72|276
7569,226|247|230|248|125|155|294|72|276|129
7601,226|247|230|248|125|204|155|294|72|276
7625,226|247|230|248|125|204|155|294|72|276
7650,226|247|230|248|125|204|155|294|72|276
7657,226|247|230|248|125|204|155|294|72|276
7706,226|247|230|248|125|204|155|294|72|276
7714,226|247|230|248|125|204|155|294|72|276
7722,226|247|230|248|125|204|155|294|72|276
7731,226|247|230|248|125|204|155|294|72|276
7755,226|247|230|248|125|204|155|294|72|276
7777,226|247|230|248|125|204|155|294|72|276
7786,226|247|230|248|125|204|155|294|72|276
7828,226|247|230|248|125|204|155|294|72|276
7846,226|247|230|248|125|204|155|294|72|276
7855,226|247|230|248|125|204|155|294|72|276
7869,226|247|230|248|125|204|155|294|72|276
7919,226|247|230|248|125|204|155|294|72|276
7951,226|247|230|248|125|204|155|294|72|276
7981,226|247|230|248|125|204|155|294|72|276
7988,226|247|230|248|125|204|155|294|72|276
7997,226|247|230|248|125|204|155|294|72|276
8046,226|247|230|248|125|204|155|294|72|276
8047,226|247|230|248|125|204|155|294|72|276
8099,226|247|230|248|125|204|155|294|72|276
8108,226|247|230|248|125|204|155|294|72|276
8111,226|247|230|248|125|204|155|294|72|276
8112,226|247|230|248|125|204|155|294|72|276
8157,226|247|230|248|125|204|155|294|72|276
8164,226|247|230|248|125|204|155|294|72|276
8207,226|247|230|248|125|204|155|294|72|276
8222,226|247|230|248|125|204|155|294|72|276
8230,226|247|230|248|125|204|155|294|72|276
8272,226|247|230|248|125|204|155|294|72|276
8291,226|247|230|248|125|204|155|294|165|72
8296,226|247|230|248|125|204|155|294|72|276
8323,226|247|230|248|125|204|155|294|72|276
8330,226|247|230|248|125|204|155|294|72|276
8339,226|247|230|248|125|204|155|294|72|276
8346,226|247|230|248|125|204|155|294|72|276
8423,226|247|230|248|125|204|155|294|72|276
8437,226|247|230|248|125|204|155|294|72|276
8475,226|247|230|248|125|204|155|294|72|276
8512,226|247|230|248|125|204|155|294|72|276
8540,226|247|230|248|125|204|155|294|72|276
8609,226|247|230|248|125|204|155|294|72|276
8619,247|230|248|125|204|155|294|72|276|213
8627,226|247|230|248|125|204|155|294|72|276
8734,226|247|230|248|125|204|155|294|72|276
8738,226|247|230|248|125|204|155|294|72|276
8808,226|247|230|248|125|204|155|294|72|276
8817,226|247|230|248|125|204|155|294|72|129
8838,226|247|230|248|125|204|155|294|72|276
8844,226|247|230|248|125|204|155|294|72|276
8865,226|247|248|125|204|155|294|72|276|129
8877,226|247|230|248|125|204|155|294|72|276
8907,226|247|230|248|125|204|155|294|72|276
8931,226|247|230|248|125|204|155|294|72|276
8947,226|247|230|248|125|204|155|294|72|276
9023,226|247|230|248|125|204|155|294|72|276
9051,226|247|230|248|125|204|155|294|72|276
9155,226|247|230|248|125|204|155|294|72|276
9166,226|247|230|248|125|204|155|294|72|276
9173,226|247|230|248|125|204|155|294|72|276
9194,226|247|230|248|125|204|155|294|72|276
9239,226|247|230|248|125|204|155|294|72|276
9282,226|247|230|248|125|204|155|294|72|276
9284,226|247|230|248|125|204|155|294|72|276
9398,226|247|230|248|125|204|155|294|72|276
9404,226|247|230|248|125|204|155|294|72|276
9405,226|247|230|248|125|204|155|294|72|276
9449,226|247|230|248|125|204|155|294|72|276
9472,226|247|230|248|125|204|155|294|72|276
9501,226|247|230|248|125|204|155|294|72|276
9524,226|247|230|248|125|204|155|294|72|276
9545,226|247|230|248|125|204|155|294|72|276
9552,226|247|230|248|125|204|155|294|72|276
9557,226|247|230|248|125|204|155|294|72|276
9565,226|247|230|248|125|204|155|294|72|276
9576,226|247|230|248|125|204|155|294|72|276
9578,226|247|230|248|125|204|155|294|72|276
9584,226|247|230|248|125|204|155|294|72|276
9612,226|247|230|248|125|204|155|294|72|276
9646,226|247|230|248|125|204|155|294|72|276
9648,226|247|230|248|125|204|155|294|72|276
9665,226|247|230|248|125|204|155|294|72|276
9668,226|247|230|248|125|204|155|294|72|276
9711,226|247|230|248|125|204|155|72|276|129
9720,226|247|230|248|125|204|155|294|72|276
9733,226|247|230|248|125|204|155|294|72|276
9796,226|247|230|248|125|204|155|294|72|276
9806,226|247|230|248|204|155|294|72|276|129
9831,226|247|230|248|125|204|155|294|72|276
9852,226|247|230|248|125|204|155|294|72|276
9873,226|247|230|248|125|204|155|294|72|276
9878,226|247|230|248|125|204|155|294|72|276
9889,226|247|230|248|125|204|155|294|72|276
9949,226|247|230|125|204|155|294|72|276|129
9954,226|247|230|248|125|204|155|294|72|276
9960,226|247|230|248|125|204|155|294|72|276
9961,226|247|230|248|125|204|155|294|72|276
9974,226|247|230|248|125|204|155|294|72|276
9978,226|247|230|248|125|204|155|294|72|276
10016,226|247|230|248|125|204|155|294|72|276
10018,226|247|230|248|125|204|155|294|72|276
10104,226|247|230|248|125|204|155|294|72|276
10159,226|247|230|248|125|204|155|294|72|276
10209,226|247|230|248|125|204|155|294|72|276
10222,226|247|230|248|125|204|155|294|72|276
10268,226|247|230|248|125|204|155|294|72|276
10269,226|247|230|248|125|204|155|294|72|276
10285,226|247|230|248|125|204|155|294|276|129
10382,226|247|230|248|125|204|155|294|72|276
10410,226|247|230|248|125|204|155|294|72|276
10444,226|247|230|248|204|155|294|72|276|129
10500,226|247|230|248|125|204|155|294|72|276
10526,226|247|230|248|125|204|155|294|72|276
10544,226|247|230|248|125|204|155|294|72|276
10545,226|247|230|248|125|204|155|294|72|276
10550,226|247|125|204|155|294|72|276|129|213
10656,226|247|230|248|125|204|155|294|72|276
10663,226|247|230|248|125|204|155|294|72|276
10688,226|247|230|125|248|204|155|294|72|276
10710,226|247|230|248|125|204|155|294|72|276
10748,226|247|230|248|125|204|155|294|72|276
10754,226|247|230|248|125|204|155|294|72|276
10820,226|247|230|248|125|204|155|294|72|276
10838,226|247|230|248|125|204|155|294|72|276
10844,226|247|230|248|125|204|155|294|72|276
10850,226|247|230|248|125|204|155|294|72|276
10871,226|247|230|248|125|204|155|294|72|276
10884,226|247|230|248|125|204|155|294|72|276
10921,226|247|230|248|125|204|155|294|72|276
10923,226|247|230|248|125|204|155|294|72|276
10948,226|247|230|248|125|204|155|294|72|276
10951,226|247|230|248|125|204|155|294|72|276
10973,226|247|230|248|125|204|155|294|72|276
10975,226|247|230|248|125|204|155|294|72|276
11013,226|247|230|248|125|204|155|294|72|276
11015,226|247|230|248|125|204|155|294|72|276
11081,226|247|230|248|125|204|155|294|72|276
11096,226|247|230|248|125|204|155|294|72|276
11102,226|247|230|248|125|204|155|294|72|276
11119,226|247|230|248|125|204|155|294|72|276
11122,226|230|248|125|204|155|294|72|276|129
11134,226|247|230|248|125|204|155|294|72|276
11167,226|247|230|248|125|155|204|294|72|276
11215,226|247|230|248|125|204|155|294|72|276
11281,226|247|230|248|125|204|155|294|72|276
11321,226|247|230|248|125|204|155|294|72|276
11330,226|247|230|248|125|204|155|294|72|276
11350,226|247|230|248|125|204|155|294|72|276
11379,226|247|230|248|125|204|155|294|72|276
11392,226|247|230|248|125|204|155|294|72|276
11397,226|247|230|248|125|204|155|294|72|276
11433,226|247|230|248|125|204|155|294|72|276
11459,226|247|230|248|125|204|155|294|72|276
11468,226|247|230|248|125|204|155|294|72|276
11489,226|247|230|248|125|204|155|294|72|276
11500,226|247|230|248|125|204|155|294|72|276
11523,226|247|230|248|125|204|155|294|72|276
11528,226|247|230|248|125|204|155|294|72|276
11555,226|247|230|248|125|204|155|294|72|276
11570,226|247|230|248|125|204|155|294|72|276
11591,226|247|230|248|125|204|155|294|72|276
11679,226|247|230|248|125|204|155|294|72|276
11744,226|247|230|248|125|204|155|294|72|276
11830,226|247|230|248|125|204|155|294|72|276
11837,226|247|230|248|125|204|294|72|276|129
11899,226|247|230|248|125|204|155|294|72|276
11932,226|247|230|248|125|204|155|294|72|276
11985,226|247|230|248|125|204|155|294|72|276
11995,226|247|230|248|125|204|155|294|72|276
12051,226|247|230|248|125|204|155|294|72|276
12096,226|247|230|248|125|204|155|294|72|276
12122,226|247|230|248|125|204|155|294|72|276
12142,226|247|230|248|125|204|155|294|72|276
12221,226|247|230|248|125|204|155|294|72|276
12225,226|247|230|248|125|204|155|294|72|276
12253,226|247|230|248|125|204|155|294|72|276
12278,226|247|248|125|204|155|294|72|276|129
12286,226|247|230|248|125|204|155|294|72|276
12321,226|247|230|248|125|204|155|294|72|276
12371,226|247|230|248|125|204|155|294|72|276
12422,226|247|230|248|125|204|155|294|72|276
12432,226|247|230|248|125|204|155|294|72|276
12448,226|247|230|248|125|204|155|294|72|276
12458,226|247|230|248|125|204|155|294|72|276
12464,226|247|230|248|125|204|155|294|72|276
12521,226|247|230|248|125|204|155|294|72|276
12525,226|247|230|248|125|204|155|294|72|276
12532,226|247|230|248|125|204|155|294|72|276
12535,226|247|230|248|125|204|155|294|72|276
12553,226|247|230|248|125|204|155|294|72|276
12577,226|247|230|248|125|204|155|294|72|276
12578,226|247|230|248|125|204|155|294|72|276
12590,226|247|230|248|125|204|155|294|72|276
12641,226|247|230|248|125|204|155|294|72|276
12683,226|247|230|248|125|204|155|294|72|276
12724,226|247|230|248|125|204|155|294|72|276
12735,226|247|230|248|125|204|155|294|72|276
12750,226|247|230|248|125|204|155|294|72|276
12768,226|247|230|248|125|204|155|294|72|276
12788,226|247|230|248|125|204|155|294|72|276
12836,226|247|230|125|248|204|155|294|72|276
12867,226|247|230|248|125|204|155|294|72|276
12894,226|247|230|248|125|204|155|294|72|276
12952,226|247|230|248|125|204|155|294|72|276
13039,226|247|230|248|125|204|155|294|72|276
13114,226|247|230|248|125|204|155|294|276|213
13132,226|247|230|248|125|204|155|294|72|276
13151,247|230|248|125|204|155|294|72|276|129
13167,226|247|230|248|125|204|155|294|72|276
